time,open,high,low,close,Volume,Volume MA
1675609200,1652.81,1657.06,1642,1644.82,643.0817192,1167.6132043085013
1675612800,1644.81,1647.43,1637.02,1639.84,1049.51474483,1198.7820282620012
1675616400,1639.84,1641.22,1618,1619.45,2803.07508825,1325.8233175860012
1675620000,1618.97,1623.42,1612.64,1615.43,1412.56564615,1374.6986385005011
1675623600,1615.42,1621.93,1610.01,1620.87,793.85416687,1305.528468914501
1675627200,1620.87,1622.4,1615.42,1618.39,610.14013699,1285.730133987501
1675630800,1618.4,1622.4,1612.58,1622.32,415.66709293,1272.6107382250011
1675634400,1622.33,1639.96,1622.26,1634.99,2839.04163885,1381.5595710255013
1675638000,1635.19,1635.24,1628.32,1629.63,984.08650503,1335.9205179745013
1675641600,1629.4,1642.67,1629.4,1639.22,501.58419376,1332.9389175095014
1675645200,1639.22,1640.45,1631.8,1631.8,344.11711833,1347.0254830495012
1675648800,1631.62,1633.57,1623.15,1624.01,340.37981364,1356.2292666890012
1675652400,1624.01,1627.83,1619.39,1626.8,1394.69799892,1402.9623617255013
1675656000,1626.81,1628.99,1624.73,1626,488.83500877,1329.313230091501
1675659600,1625.61,1625.68,1608,1621.56,1327.34392475,1383.700873138501
1675663200,1621.57,1627.92,1620.32,1626.51,356.38531326,1369.2776843445013
1675666800,1626.01,1636.21,1625.6,1635.6,588.46578643,1296.604001448501
1675670400,1635.68,1637.41,1630.99,1632.68,372.41436374,980.3782915600013
1675674000,1632.65,1635.4,1628.51,1630.49,403.0556712,969.0789594040014
1675677600,1630.4,1634.2,1628,1630.62,292.18734586,898.0246638880013
1675681200,1630.85,1636.08,1622.63,1635.98,663.33300805,899.0372283305012
1675684800,1635.98,1638.41,1627.25,1633.81,364.04376545,864.7636793615011
1675688400,1633.8,1637.84,1628.12,1628.12,491.96633652,749.208241775001
1675692000,1628.64,1634.05,1623.71,1629.61,920.09512027,724.584715481001
1675695600,1629.61,1649.25,1618,1649.09,2365.40514852,803.162264563501
1675699200,1648.8,1657.83,1641.03,1645.01,3971.97933247,971.254224337501
1675702800,1645.45,1651.79,1641.98,1648.08,1738.93879292,1037.4178093370008
1675706400,1648.08,1650.25,1640.79,1646.42,607.23005969,925.8272303790009
1675710000,1646.44,1654.56,1642.08,1649.07,1314.48745797,942.3472780260008
1675713600,1649.07,1649.45,1641.71,1646.42,1902.19444715,1012.3777906955007
1675717200,1646.42,1646.42,1636.06,1638.37,653.61735641,1027.8528025995006
1675720800,1638.01,1638.36,1630.16,1633.5,1080.91799117,1064.8797114760007
1675724400,1633.5,1633.5,1605,1615.26,3103.9031094,1150.3399670000006
1675728000,1615.25,1621.05,1610.97,1619.29,1709.48304857,1211.3723689900007
1675731600,1619.48,1626.5,1619.48,1626.5,407.77684342,1165.394014923501
1675735200,1626,1629.45,1622.25,1628.82,476.38494095,1171.3939963080006
1675738800,1628.85,1635,1626.82,1632.65,184.11935679,1151.1766748260009
1675742400,1633.05,1636.96,1630.94,1632.54,906.21140436,1177.8665268570007
1675746000,1632.54,1636.06,1632,1636.06,306.93010323,1173.0602484585008
1675749600,1635.6,1637.05,1632.81,1633.61,129.38539575,1164.9201509530008
1675753200,1633.61,1635.93,1631.15,1632.48,107.75917166,1137.1414591335008
1675756800,1632.41,1633.35,1629.07,1630.63,378.6833182,1137.8734367710008
1675760400,1630.62,1643.43,1630.62,1642.3,870.31215913,1156.790727901501
1675764000,1643.44,1647.41,1640.01,1643.04,689.70613375,1145.271278575501
1675767600,1643.05,1646.25,1640,1641.85,1109.5339894,1082.4777206195008
1675771200,1641.85,1644.49,1640.23,1644.4,730.22172091,920.389840041501
1675774800,1644.2,1644.2,1634.86,1639.51,993.62047733,883.1239242620011
1675778400,1639.52,1641,1635.37,1637.41,1023.52741291,903.9387919230012
1675782000,1637.2,1637.47,1626.19,1630.64,2442.6220261,960.3455203295013
1675785600,1630.65,1643.39,1624.88,1638.81,761.90176127,903.3308860355013
